url,uuid
coinbase-arena.com,019a4727-3608-7594-9078-7e80631e199a
carrtrucker.com,019a4725-63da-72b7-aa0f-eb2751031f55
reputationrescue.info,019a472a-039a-771e-b072-212b48d486fe
inslagarm.com,019a472b-434e-7237-b968-d1589a70ffaf
